-763.120764
Date 0.000000
Location 0.000000
MinTemp 22034.155648
MaxTemp -81735.247191
Rainfall 112986.828861
Evaporation -20275.174049
Sunshine -57342.027263
WindGustDir 14967.583005
WindGustSpeed 141741.154992
WindDir9am 17206.997370
WindDir3pm 12967.217534
WindSpeed9am 36102.782679
WindSpeed3pm 29482.840404
Humidity9am 221645.811860
Humidity3pm 477178.599153
Pressure9am -865210.184901
Pressure3pm -855303.681812
Cloud9am 29821.944201
Cloud3pm 33195.760772
Temp9am -21601.644084
Temp3pm -90767.685389
RainToday 7223.947230
